<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
CC_VNINDEX,20200213,94130,2448810000000,549731097500,68370,298934680,274320390
CC_HNX-INDEX,20200213,12825,399729028200,81281176800,11445,65086500,67717800
CC_VNINDEX,20200212,100546,3172619000000,944356318100,81411,376885420,313643590
CC_HNX-INDEX,20200212,12735,553795510400,29427002700,13026,73035700,67526200
CC_VNINDEX,20200211,96997,2702481000000,307229245600,67199,304634510,272003670
CC_HNX-INDEX,20200211,10603,264866080600,41108454700,8642,60316700,48782900
CC_VNINDEX,20200210,96332,2191890000000,433444428450,60705,256748490,233092130
CC_HNX-INDEX,20200210,11499,282462367600,197001625225,9936,54545800,56754500
CC_VNINDEX,20200207,105703,3091217000000,571624437800,74771,313536590,301218470
CC_HNX-INDEX,20200207,11220,326823478200,22678154700,10510,53058200,65533100
CC_VNINDEX,20200206,109423,3754465000000,367155369450,81128,392164230,317947610
CC_HNX-INDEX,20200206,10935,338356093200,11486437000,10544,56382400,58061800
CC_VNINDEX,20200205,91353,2971621000000,906814771100,68605,279441670,290194120
CC_HNX-INDEX,20200205,9999,355276063800,46591036500,9345,60443300,53289100
CC_VNINDEX,20200204,106678,3281442000000,510217723600,67058,316188000,306699300
CC_HNX-INDEX,20200204,9879,292158060600,22570041200,7891,51049700,49702700
CC_VNINDEX,20200203,114640,4315277000000,618077854000,82727,374806270,392221680
CC_HNX-INDEX,20200203,12157,595858795500,40955351500,11101,78995300,85574700
CC_VNINDEX,20200131,106383,3986058000000,687634587000,74116,310616280,354805250
CC_HNX-INDEX,20200131,10359,486616872700,64623510300,9921,61272600,77205800
CC_VNINDEX,20200130,107301,3847422000000,352315047700,67485,267767520,312789370
CC_HNX-INDEX,20200130,8422,330827943800,14685571900,8161,42288300,57001400
CC_VNINDEX,20200122,80864,2533954680000,511247436400,59888,260934430,237495370
CC_HNX-INDEX,20200122,7711,236301390700,2861720000,7949,52442100,45102100
CC_VNINDEX,20200121,73777,2656479000000,564472621700,61261,250052400,240826730
CC_HNX-INDEX,20200121,9939,261029245100,13588525600,8920,51607700,46528200
CC_VNINDEX,20200120,61867,2109087000000,1667953008600,53783,187560980,209699430
CC_HNX-INDEX,20200120,8558,261630719600,69317542800,7881,47140000,44086300
CC_VNINDEX,20200117,68874,2308248000000,835854593400,61098,223038380,250825830
CC_HNX-INDEX,20200117,8461,233249672600,45138268600,9011,44003900,48887700
CC_VNINDEX,20200116,76379,2661867000000,1672834402140,65641,259123050,289287770
CC_HNX-INDEX,20200116,10020,276910324200,30613394700,9640,50239100,48554700
CC_VNINDEX,20200115,0,1981492000000,1047876578900,0,0,0
CC_HNX-INDEX,20200115,7436,203744097400,102544136100,7925,44020900,43656500
