<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
NN_VNINDEX,20210224,84320,545511700,26876826,205270,1760553000,2226181000
NN_HNX-INDEX,20210224,84320,148639107,8263730,205270,1760553000,2226181000
NN_VNINDEX,20210223,84320,545038100,22577831,205270,1760553000,2226181000
NN_HNX-INDEX,20210223,84320,124703167,14652573,205270,1760553000,2226181000
NN_VNINDEX,20210222,84320,542637200,50819242,205270,1760553000,2226181000
NN_HNX-INDEX,20210222,84320,104566337,2133389,205270,1760553000,2226181000
NN_VNINDEX,20210219,84320,520714600,19265890,205270,1760553000,2226181000
NN_HNX-INDEX,20210219,84320,100487526,1363825,205270,1760553000,2226181000
NN_VNINDEX,20210218,84320,560699200,16778323,205270,1760553000,2226181000
NN_HNX-INDEX,20210218,84320,124754301,2502062,205270,1760553000,2226181000
NN_VNINDEX,20210217,84320,482046200,45213425,205270,1760553000,2226181000
NN_HNX-INDEX,20210217,84320,86323384,503043,205270,1760553000,2226181000
NN_VNINDEX,20210209,84320,459794700,24121090,205270,1760553000,2226181000
NN_HNX-INDEX,20210209,84320,73849671,3070752,205270,1760553000,2226181000
NN_VNINDEX,20210208,84320,609698500,53433093,205270,1760553000,2226181000
NN_HNX-INDEX,20210208,84320,122185642,3567585,205270,1760553000,2226181000
NN_VNINDEX,20210205,84320,436892900,54288369,205270,1760553000,2226181000
NN_HNX-INDEX,20210205,84320,98632935,10975710,205270,1760553000,2226181000
NN_VNINDEX,20210204,84320,445476800,30628997,205270,1760553000,2226181000
NN_HNX-INDEX,20210204,84320,80768986,13569958,205270,1760553000,2226181000
NN_VNINDEX,20210203,84320,606731400,41907948,205270,1760553000,2226181000
NN_HNX-INDEX,20210203,84320,117160664,16950752,205270,1760553000,2226181000
NN_VNINDEX,20210202,84320,526221500,44597187,205270,1760553000,2226181000
NN_HNX-INDEX,20210202,84320,104307298,5696586,205270,1760553000,2226181000
NN_VNINDEX,20210201,84320,588446500,45887251,205270,1760553000,2226181000
NN_HNX-INDEX,20210201,84320,101534222,14312702,205270,1760553000,2226181000
NN_VNINDEX,20210129,84320,711837700,26782530,205270,1760553000,2226181000
